Timestamp,Out (KB),In (KB),Out (Ops),In (Ops),Active DOs,Stream Out (KB),Stream In (KB)
2026-03-15T23:36:08.204Z,3.03,0.00,62,0,0,0.00,0.00
2026-03-15T23:36:28.207Z,0.00,64.30,0,40,20,570.94,0.00
2026-03-15T23:36:38.219Z,0.00,291.68,0,178,20,17660.42,0.00
2026-03-15T23:37:48.209Z,0.00,4.92,0,3,20,0.00,0.00
2026-03-15T23:37:58.212Z,0.00,13.11,0,8,20,0.00,0.00
2026-03-15T23:38:08.205Z,0.00,13.11,0,8,20,0.00,0.00
2026-03-15T23:38:18.207Z,0.00,16.39,0,10,20,0.00,0.00
2026-03-15T23:38:28.202Z,0.00,6.55,0,4,20,0.00,0.00
2026-03-15T23:38:38.198Z,0.00,21.30,0,13,20,0.00,0.00
2026-03-15T23:38:48.207Z,0.00,14.75,0,9,20,0.00,0.00
2026-03-15T23:38:58.205Z,0.00,9.83,0,6,20,0.00,0.00
2026-03-15T23:39:08.207Z,0.00,13.11,0,8,20,0.00,0.00
2026-03-15T23:39:18.210Z,0.00,11.47,0,7,20,0.00,0.00
2026-03-15T23:39:28.198Z,0.00,14.75,0,9,20,0.00,0.00
2026-03-15T23:39:38.204Z,0.00,11.47,0,7,20,0.00,0.00
2026-03-15T23:39:48.210Z,0.00,14.75,0,9,20,0.00,0.00
2026-03-15T23:39:58.204Z,0.00,14.75,0,9,20,0.00,0.00
2026-03-15T23:40:08.206Z,0.00,18.03,0,11,20,0.00,0.00
