Timestamp,Out (KB),In (KB),Out (Ops),In (Ops),Active DOs,Stream Out (KB),Stream In (KB)
2026-03-16T03:15:43.224Z,0.00,8.70,0,19,4,0.00,0.00
2026-03-16T03:15:53.238Z,3.03,12.61,62,8,4,0.00,0.00
2026-03-16T03:16:03.225Z,0.00,7.88,0,5,4,0.00,0.00
2026-03-16T03:16:13.237Z,0.00,4.73,0,3,4,0.00,0.00
2026-03-16T03:16:23.230Z,0.00,3.15,0,2,4,32.71,0.00
2026-03-16T03:16:33.229Z,0.00,3.15,0,2,4,0.00,0.00
2026-03-16T03:16:43.230Z,0.00,1.58,0,1,4,0.00,0.00
2026-03-16T03:16:53.238Z,0.00,4.73,0,3,4,0.00,0.00
2026-03-16T03:17:03.227Z,0.00,1.58,0,1,4,0.00,0.00
2026-03-16T03:17:13.236Z,0.00,3.15,0,2,4,0.00,0.00
2026-03-16T03:17:23.237Z,0.00,3.15,0,2,4,0.00,0.00
2026-03-16T03:17:33.223Z,0.00,4.73,0,3,4,0.00,0.00
2026-03-16T03:17:43.224Z,0.00,3.15,0,2,4,0.00,0.00
2026-03-16T03:17:53.237Z,0.00,4.73,0,3,4,0.00,0.00
2026-03-16T03:18:03.224Z,0.00,3.15,0,2,4,0.00,0.00
2026-03-16T03:18:13.224Z,0.00,3.15,0,2,4,0.00,0.00
2026-03-16T03:18:23.223Z,0.00,1.58,0,1,4,0.00,0.00
2026-03-16T03:18:33.223Z,0.00,48.86,0,31,4,0.00,0.00
2026-03-16T03:18:43.222Z,0.00,3.15,0,2,4,0.00,0.00
2026-03-16T03:18:53.225Z,0.00,3.15,0,2,4,0.00,0.00
2026-03-16T03:19:11.371Z,0.00,4.73,0,3,4,0.00,0.00
2026-03-16T03:19:21.370Z,0.00,3.15,0,2,4,0.00,0.00
2026-03-16T03:19:31.370Z,0.00,3.15,0,2,4,0.00,0.00
2026-03-16T03:19:41.388Z,0.00,36.25,0,23,4,0.00,0.00
2026-03-16T03:19:51.409Z,3.03,4.73,62,3,4,0.00,0.00
2026-03-16T03:20:01.376Z,1.51,3.15,31,2,4,0.00,0.00
2026-03-16T03:20:11.373Z,0.00,4.73,0,3,4,0.00,0.00
2026-03-16T03:20:31.396Z,0.00,4.73,0,3,4,0.00,0.00
2026-03-16T03:20:41.369Z,4.54,4.73,93,3,4,0.00,0.00
2026-03-16T03:20:51.397Z,0.00,383.01,0,243,4,0.00,0.00
2026-03-16T03:21:01.375Z,0.00,176.53,0,112,4,0.00,0.00
