Timestamp,Out (KB),In (KB),Out (Ops),In (Ops)
2026-03-15T05:45:34.074Z,0.00,29.26,0,100
2026-03-15T05:45:44.030Z,0.26,29.50,31,103
2026-03-15T05:45:54.026Z,0.00,30.44,0,105
2026-03-15T05:46:04.026Z,0.00,28.55,0,101
2026-03-15T05:46:14.048Z,0.00,29.14,0,101
2026-03-15T05:46:24.022Z,0.00,29.61,0,102
2026-03-15T05:46:34.126Z,0.00,29.20,0,102
2026-03-15T05:46:44.083Z,0.00,30.04,0,105
2026-03-15T05:46:54.024Z,0.00,27.65,0,97
2026-03-15T05:47:04.027Z,0.00,29.97,0,104
2026-03-15T05:47:14.028Z,0.00,29.54,0,101
2026-03-15T05:47:24.034Z,0.00,30.36,0,104
2026-03-15T05:47:34.082Z,0.00,28.35,0,101
2026-03-15T05:47:44.027Z,0.00,30.27,0,103
2026-03-15T05:47:54.264Z,0.00,28.54,0,101
2026-03-15T05:48:04.132Z,0.75,29.25,93,100
2026-03-15T05:48:14.029Z,1.82,29.43,217,102
2026-03-15T05:48:24.101Z,1.30,28.80,155,99
2026-03-15T05:48:34.018Z,0.78,30.86,93,105
2026-03-15T05:48:44.084Z,0.00,27.74,0,98
2026-03-15T05:48:54.062Z,0.00,29.98,0,104
