Timestamp,Out (KB),In (KB),Out (Ops),In (Ops),Active DOs,Stream (KB)
2026-03-15T13:59:47.417Z,0.00,18.10,0,15,0,32.71
2026-03-15T14:00:22.513Z,0.00,6.09,0,22,16,0.00
2026-03-15T14:00:32.481Z,0.00,25.71,0,90,38,0.00
2026-03-15T14:00:42.469Z,0.00,32.17,0,114,40,0.00
2026-03-15T14:00:52.458Z,0.00,32.70,0,113,40,0.00
2026-03-15T14:01:02.515Z,0.00,31.03,0,112,40,0.00
2026-03-15T14:01:12.536Z,0.00,32.10,0,113,40,0.00
2026-03-15T14:01:22.505Z,0.00,32.77,0,114,40,0.00
2026-03-15T14:01:32.458Z,0.00,32.46,0,115,40,0.00
2026-03-15T14:01:42.486Z,0.00,31.46,0,110,40,0.00
2026-03-15T14:01:52.616Z,0.00,32.76,0,114,40,0.00
2026-03-15T14:02:02.541Z,0.00,31.93,0,111,40,0.00
2026-03-15T14:02:12.507Z,0.00,32.48,0,113,40,0.00
2026-03-15T14:02:22.458Z,0.00,33.41,0,117,40,0.00
2026-03-15T14:02:32.457Z,0.00,31.74,0,111,40,0.00
2026-03-15T14:02:42.469Z,0.00,33.17,0,114,40,0.00
2026-03-15T14:02:52.588Z,0.00,33.30,0,113,40,0.00
2026-03-15T14:03:02.457Z,0.00,32.32,0,113,40,0.00
2026-03-15T14:03:12.562Z,0.00,32.42,0,112,40,0.00
2026-03-15T14:03:22.504Z,0.00,33.36,0,114,40,0.00
2026-03-15T14:03:32.485Z,0.00,32.76,0,114,40,0.00
2026-03-15T14:03:42.503Z,0.00,31.62,0,112,40,0.00
2026-03-15T14:03:52.501Z,0.00,32.58,0,114,40,0.00
2026-03-15T14:04:02.488Z,0.00,32.37,0,114,40,0.00
2026-03-15T14:04:12.464Z,0.00,32.82,0,112,40,0.00
2026-03-15T14:04:22.530Z,0.00,32.21,0,112,40,0.00
2026-03-15T14:04:32.456Z,0.00,33.58,0,117,40,0.00
2026-03-15T14:04:42.519Z,0.00,97.99,0,181,40,0.00
2026-03-15T14:04:52.491Z,0.00,79.25,0,117,40,0.00
2026-03-15T14:05:02.488Z,0.00,77.96,0,113,40,0.00
2026-03-15T14:05:12.456Z,0.00,76.60,0,111,40,0.00
2026-03-15T14:05:22.489Z,0.00,77.66,0,114,40,0.00
2026-03-15T14:05:32.566Z,0.00,75.62,0,111,40,0.00
2026-03-15T14:05:42.462Z,0.00,78.40,0,114,40,0.00
2026-03-15T14:05:52.487Z,0.00,76.30,0,112,40,0.00
2026-03-15T14:06:02.594Z,0.00,77.35,0,113,40,0.00
2026-03-15T14:06:12.456Z,0.00,79.06,0,115,40,0.00
2026-03-15T14:06:22.613Z,0.00,73.88,0,109,40,0.00
2026-03-15T14:06:32.457Z,0.00,80.93,0,118,40,0.00
2026-03-15T14:06:42.457Z,0.00,75.03,0,111,40,0.00
2026-03-15T14:06:52.502Z,0.00,76.76,0,113,40,0.00
2026-03-15T14:07:02.534Z,0.00,76.28,0,112,40,0.00
2026-03-15T14:07:12.511Z,0.00,79.86,0,117,40,0.00
