Timestamp,Out (KB),In (KB),Out (Ops),In (Ops),Active DOs,Stream Out (KB),Stream In (KB)
2026-03-15T20:38:51.827Z,0.00,121.26,0,74,65,0.00,0.00
2026-03-15T20:39:16.216Z,0.00,21.30,0,13,75,0.00,0.00
2026-03-15T20:40:12.232Z,0.00,226.14,0,138,179,0.00,0.00
2026-03-15T20:40:34.183Z,0.00,539.12,0,329,313,0.00,0.00
2026-03-15T20:40:53.882Z,0.00,604.67,0,369,365,0.00,0.00
2026-03-15T20:41:12.407Z,0.00,627.61,0,383,386,0.00,0.00
2026-03-15T20:41:24.201Z,0.00,617.78,0,377,395,0.00,0.00
2026-03-15T20:41:31.925Z,0.00,250.72,0,153,398,0.00,0.00
2026-03-15T20:41:41.773Z,0.00,185.17,0,113,399,0.00,0.00
2026-03-15T20:41:51.756Z,0.00,178.62,0,109,399,0.00,0.00
2026-03-15T20:42:01.869Z,0.00,181.89,0,111,400,0.00,0.00
2026-03-15T20:42:11.756Z,0.00,178.62,0,109,400,0.00,0.00
2026-03-15T20:42:21.834Z,0.00,185.17,0,113,400,0.00,0.00
2026-03-15T20:42:41.109Z,0.00,111.43,0,68,400,0.00,0.00
